Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Birthday_count,Employed_days,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label,age
5008827,M,YES,YES,0,180000,Pensioner,Higher education,Married,House / apartment,-18772,365243,1,0,0,0,Core staff,2,1,51
5009744,F,YES,NO,0,315000,Commercial associate,Higher education,Married,House / apartment,-13557,-586,1,1,1,0,Core staff,2,1,37
5009746,F,YES,NO,0,315000,Commercial associate,Higher education,Married,House / apartment,-13557,-586,1,1,1,0,Core staff,2,1,37
5009749,F,YES,NO,0,315000,Commercial associate,Higher education,Married,House / apartment,-13557,-586,1,1,1,0,Cooking staff,2,1,37
5009752,F,YES,NO,0,315000,Commercial associate,Higher education,Married,House / apartment,-13557,-586,1,1,1,0,Cooking staff,2,1,37
5009753,F,YES,NO,0,315000,Pensioner,Higher education,Married,House / apartment,-13557,-586,1,1,1,0,Cooking staff,2,1,37
5009754,F,YES,NO,0,180000,Commercial associate,Higher education,Married,House / apartment,-22134,-586,1,1,1,0,Laborers,2,1,61
5009894,M,NO,NO,0,450000,Pensioner,Secondary / secondary special,Married,House / apartment,-18173,365243,1,0,0,0,Laborers,2,1,50
5010864,M,YES,YES,1,450000,Commercial associate,Secondary / secondary special,Married,House / apartment,-18173,-678,1,0,1,1,Sales staff,3,1,50
5010868,M,YES,YES,1,450000,Pensioner,Secondary / secondary special,Married,House / apartment,-18173,-678,1,0,1,1,Sales staff,3,1,50
5010869,F,YES,YES,1,90000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-18950,-678,1,0,1,1,Laborers,1,1,52
5018498,F,YES,YES,0,90000,Working,Secondary / secondary special,Married,House / apartment,-18950,-1002,1,1,1,0,Accountants,2,1,52
5018501,F,YES,YES,0,472500,Working,Secondary / secondary special,Married,House / apartment,-18950,-1002,1,1,1,0,Sales staff,2,1,52
5018503,M,YES,YES,0,270000,Working,Secondary / secondary special,Married,House / apartment,-8907,-1002,1,1,1,0,Laborers,2,1,24
5021303,M,NO,NO,1,270000,Pensioner,Higher education,Married,With parents,-16896,-913,1,0,0,1,High skill tech staff,3,1,46
5021310,M,NO,YES,0,126000,Working,Secondary / secondary special,Married,House / apartment,-16896,-248,1,0,0,0,Managers,2,1,46
5021314,F,NO,YES,0,126000,Working,Secondary / secondary special,Single / not married,House / apartment,-18907,-248,1,0,0,0,Cleaning staff,2,1,52
5021430,F,NO,YES,0,90000,Commercial associate,Higher education,Single / not married,House / apartment,-18907,-2470,1,0,0,0,Laborers,1,1,52
5021431,M,NO,YES,0,202500,Commercial associate,Higher education,Single / not married,House / apartment,-18863,-2470,1,0,0,0,Sales staff,1,1,52
5021998,M,NO,YES,0,202500,Pensioner,Secondary / secondary special,Married,House / apartment,-12811,-1644,1,0,0,1,Drivers,2,1,35
5022053,M,NO,NO,0,157500,Working,Higher education,Single / not married,House / apartment,-12022,-4327,1,0,0,0,Drivers,1,1,33
5022617,M,YES,YES,0,112500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-17800,-1674,1,0,0,1,Laborers,2,1,49
5023781,F,NO,YES,0,180000,Commercial associate,Higher education,Civil marriage,House / apartment,-12135,-1086,1,0,0,0,Low-skill Laborers,2,1,33
5023831,F,NO,YES,2,540000,Commercial associate,Secondary / secondary special,Married,House / apartment,-15976,-925,1,0,0,0,Low-skill Laborers,4,1,44
5024071,F,NO,YES,0,112500,Working,Higher education,Married,House / apartment,-15702,-854,1,0,0,0,Accountants,2,1,43
5024213,F,YES,YES,0,292500,Commercial associate,Higher education,Married,House / apartment,-21832,-185,1,0,1,0,Laborers,2,1,60
5024916,F,NO,YES,0,540000,Pensioner,Secondary / secondary special,Married,House / apartment,-21832,365243,1,0,1,0,Laborers,2,1,60
5024917,M,NO,YES,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,-11111,365243,1,0,1,0,Laborers,2,1,30
5025127,F,NO,YES,0,112500,Working,Secondary / secondary special,Married,House / apartment,-19996,-3350,1,0,0,0,Laborers,2,1,55
5028580,F,NO,NO,0,135000,Commercial associate,Higher education,Married,House / apartment,-12026,-691,1,0,0,0,High skill tech staff,2,1,33
5029028,F,NO,YES,0,135000,Working,Lower secondary,Single / not married,Rented apartment,-21876,-4770,1,0,0,0,Laborers,2,1,60
5029311,F,NO,YES,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,-10749,365243,1,0,1,1,Laborers,2,1,29
5033453,M,NO,NO,0,112500,Working,Higher education,Single / not married,House / apartment,-15952,-2394,1,0,0,0,IT staff,1,1,44
5033514,M,YES,NO,1,292500,Working,Secondary / secondary special,Married,House / apartment,-13015,-384,1,1,0,0,IT staff,3,1,36
5033916,M,NO,YES,0,76500,Working,Secondary / secondary special,Married,House / apartment,-20333,-3647,1,0,0,0,Drivers,2,1,56
5036469,F,YES,NO,0,215100,State servant,Secondary / secondary special,Single / not married,House / apartment,-21055,-1546,1,0,0,0,Drivers,2,1,58
5036590,M,YES,YES,0,450000,Working,Higher education,Married,House / apartment,-23835,-808,1,0,0,0,Drivers,2,1,65
5036660,M,YES,YES,0,270000,Pensioner,Secondary / secondary special,Married,House / apartment,-19175,365243,1,0,0,0,Managers,2,1,53
5036795,F,YES,YES,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,-16169,-1285,1,0,1,0,Drivers,2,1,44
5041522,F,YES,YES,0,225000,Commercial associate,Higher education,Separated,House / apartment,-16053,-855,1,1,1,0,Drivers,1,1,44
5042064,F,YES,NO,2,225000,State servant,Higher education,Married,House / apartment,-23286,-7369,1,1,1,0,Sales staff,4,1,64
5045888,F,NO,YES,0,157500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23286,365243,1,0,0,0,Sales staff,1,1,64
5045894,F,NO,YES,0,157500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23286,365243,1,0,0,0,Sales staff,1,1,64
5045895,F,NO,YES,0,67500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-15466,365243,1,0,0,0,Waiters/barmen staff,1,1,42
5046324,F,NO,YES,1,180000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-15466,-2269,1,0,1,0,Laborers,3,1,42
5046328,M,NO,YES,1,180000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-18880,-2269,1,0,1,0,Laborers,3,1,52
5047662,M,NO,YES,1,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,-11091,-4114,1,0,0,0,High skill tech staff,3,1,30
5048300,M,YES,NO,1,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,-11091,-1161,1,0,0,0,Laborers,3,1,30
5048301,M,YES,NO,1,171000,Commercial associate,Secondary / secondary special,Married,House / apartment,-18327,-1161,1,0,0,0,Sales staff,3,1,50
5050603,M,NO,NO,0,135000,Working,Secondary / secondary special,Married,House / apartment,-18327,-7288,1,1,0,0,Core staff,2,1,50
5050606,M,NO,NO,0,135000,Working,Secondary / secondary special,Married,House / apartment,-11610,-7288,1,1,0,0,Accountants,2,1,32
5050671,M,NO,NO,0,103500,Commercial associate,Incomplete higher,Single / not married,House / apartment,-9594,-166,1,1,1,0,Accountants,1,1,26
5051160,F,YES,NO,1,103500,Working,Secondary / secondary special,Married,House / apartment,-9594,-866,1,0,0,0,Core staff,3,1,26
5051161,F,YES,NO,1,225000,Working,Secondary / secondary special,Married,House / apartment,-10396,-866,1,0,0,0,High skill tech staff,3,1,28
5052659,M,NO,YES,0,225000,Working,Secondary / secondary special,Married,House / apartment,-10396,-564,1,0,0,1,Laborers,2,1,28
5052661,M,NO,YES,0,225000,Working,Secondary / secondary special,Married,House / apartment,-17915,-564,1,0,0,1,Laborers,2,1,49
5052877,M,YES,YES,0,180000,Working,Secondary / secondary special,Married,House / apartment,-17915,-3366,1,0,0,0,Laborers,2,1,49
5052879,F,YES,YES,0,157500,Working,Secondary / secondary special,Married,House / apartment,-17915,-3366,1,0,0,0,Managers,2,1,49
5052882,M,YES,YES,0,157500,Working,Secondary / secondary special,Married,House / apartment,-18667,-3366,1,0,0,0,Accountants,2,1,51
5053254,M,YES,YES,0,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,-16424,-2150,1,1,0,0,Security staff,2,1,45
5054063,F,NO,NO,1,180000,Working,Secondary / secondary special,Married,House / apartment,-16424,-1458,1,0,0,0,Laborers,3,1,45
5054068,F,NO,NO,1,99000,Working,Secondary / secondary special,Married,House / apartment,-16611,-1458,1,0,0,0,Laborers,1,1,46
5054524,F,NO,NO,2,99000,Working,Secondary / secondary special,Married,House / apartment,-16611,-8369,1,0,0,0,Laborers,4,1,46
5054525,F,NO,NO,2,99000,Working,Secondary / secondary special,Single / not married,House / apartment,-24611,-8369,1,0,0,0,Core staff,4,1,67
5058345,M,NO,YES,0,391500,Pensioner,Higher education,Separated,House / apartment,-24611,365243,1,0,0,0,Core staff,1,1,67
5058348,F,NO,YES,0,391500,Pensioner,Higher education,Separated,House / apartment,-24611,365243,1,0,0,0,Core staff,1,1,67
5058350,M,NO,YES,0,391500,Pensioner,Higher education,Separated,House / apartment,-24611,365243,1,0,0,0,Cleaning staff,1,1,67
5058352,M,NO,YES,0,65250,Pensioner,Higher education,Separated,House / apartment,-9242,365243,1,0,0,0,Managers,1,1,25
5058530,M,NO,NO,0,72900,Working,Secondary / secondary special,Single / not married,Municipal apartment,-9242,-508,1,0,0,0,Laborers,1,1,25
5058531,M,NO,NO,0,225000,Working,Secondary / secondary special,Single / not married,Municipal apartment,-20872,-508,1,0,0,0,High skill tech staff,1,1,57
5058532,M,NO,NO,0,67500,Working,Secondary / secondary special,Single / not married,Municipal apartment,-23423,-508,1,0,0,0,Medicine staff,1,1,64
5061360,F,NO,YES,0,180000,Pensioner,Higher education,Married,House / apartment,-21664,365243,1,0,0,0,Security staff,2,1,59
5061396,F,NO,YES,0,202500,Pensioner,Lower secondary,Married,House / apartment,-9122,365243,1,0,0,0,Core staff,2,1,25
5061636,M,NO,YES,0,157500,Pensioner,Secondary / secondary special,Married,Municipal apartment,-12947,365243,1,0,1,0,Core staff,2,1,35
5061691,M,NO,YES,1,202500,Commercial associate,Higher education,Married,House / apartment,-12947,-1567,1,0,0,1,Core staff,3,1,35
5062136,F,NO,NO,1,270000,Working,Secondary / secondary special,Single / not married,House / apartment,-15160,-137,1,0,0,0,Core staff,2,1,42
5062137,F,NO,YES,1,135000,Working,Secondary / secondary special,Single / not married,House / apartment,-19004,-137,1,0,0,0,Core staff,2,1,52
5065348,F,YES,YES,0,360000,Working,Higher education,Married,House / apartment,-9510,-3974,1,0,0,0,Managers,2,1,26
5065462,F,NO,NO,0,256500,Commercial associate,Secondary / secondary special,Married,House / apartment,-14052,-1570,1,0,0,0,Managers,2,1,38
5065518,F,YES,NO,1,256500,Working,Higher education,Married,Rented apartment,-13581,-2878,1,0,0,0,Core staff,3,1,37
5068389,F,YES,YES,1,157500,Working,Higher education,Separated,House / apartment,-19305,-140,1,0,1,0,Core staff,2,1,53
5068456,F,YES,NO,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,-11210,-2576,1,0,0,0,Laborers,2,1,31
5068651,M,YES,YES,0,180000,State servant,Higher education,Separated,House / apartment,-11210,-1905,1,0,0,0,Laborers,1,1,31
5069216,F,YES,YES,0,180000,Commercial associate,Higher education,Married,House / apartment,-15640,-1724,1,1,0,0,Laborers,2,1,43
5069218,F,YES,YES,0,202500,Commercial associate,Higher education,Single / not married,House / apartment,-14476,-1724,1,1,0,0,High skill tech staff,2,1,40
5069307,F,NO,YES,0,202500,Working,Secondary / secondary special,Married,House / apartment,-12253,-1328,1,0,0,0,High skill tech staff,2,1,34
5078820,M,NO,NO,2,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,-12253,-4987,1,0,0,0,Cooking staff,4,1,34
5078945,M,NO,YES,2,315000,Working,Incomplete higher,Separated,House / apartment,-13720,-3496,1,1,0,0,Laborers,3,1,38
5078946,M,NO,YES,2,225000,Working,Incomplete higher,Separated,House / apartment,-13720,-3496,1,1,0,0,Sales staff,3,1,38
5079166,M,YES,NO,0,126000,Working,Secondary / secondary special,Married,With parents,-13720,-1394,1,0,0,0,Security staff,2,1,38
5079167,F,YES,NO,0,675000,Working,Secondary / secondary special,Married,With parents,-18661,-1394,1,0,0,0,Security staff,2,1,51
5079168,M,YES,NO,0,135000,Working,Secondary / secondary special,Married,With parents,-20264,-1394,1,0,0,0,Security staff,2,1,56
5085886,F,YES,YES,0,135000,Commercial associate,Higher education,Married,House / apartment,-12755,-1265,1,0,0,0,Core staff,2,1,35
5089162,M,YES,NO,0,247500,Working,Higher education,Married,House / apartment,-15452,-2531,1,1,1,0,Core staff,2,1,42
5089959,M,NO,YES,1,103500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-10712,-2105,1,0,0,0,Laborers,3,1,29
5090166,M,NO,YES,1,85500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-10712,-860,1,0,0,0,Managers,2,1,29
5090214,F,YES,YES,0,135000,Working,Secondary / secondary special,Married,House / apartment,-17320,-217,1,0,0,0,Managers,2,1,47
5090216,M,YES,YES,0,135000,Working,Secondary / secondary special,Married,House / apartment,-22111,-217,1,0,0,0,Managers,2,1,61
5092087,F,YES,YES,2,180000,Working,Secondary / secondary special,Married,House / apartment,-15014,-535,1,0,0,0,Managers,4,1,41
5092245,F,NO,NO,0,121500,Pensioner,Secondary / secondary special,Married,House / apartment,-20012,365243,1,0,0,0,Managers,2,1,55
5092479,F,NO,NO,1,180000,State servant,Secondary / secondary special,Married,Municipal apartment,-20012,-6866,1,0,0,0,Drivers,3,1,55
5096527,F,NO,NO,0,225000,Working,Secondary / secondary special,Widow,Co-op apartment,-16803,-584,1,0,0,0,Drivers,1,1,46
5096528,M,NO,NO,0,135000,Working,Secondary / secondary special,Widow,Co-op apartment,-18971,-584,1,0,0,0,Core staff,1,1,52
5096743,M,NO,YES,0,225000,Working,Lower secondary,Widow,House / apartment,-16310,-2227,1,1,1,0,Core staff,1,1,45
5097065,M,NO,YES,0,67500,Working,Secondary / secondary special,Married,House / apartment,-22939,-8161,1,0,0,0,Core staff,2,1,63
5100430,F,YES,NO,0,135000,Working,Secondary / secondary special,Single / not married,House / apartment,-11528,-613,1,0,0,0,Laborers,1,1,32
